=== BAT DAU DONG BO CHI TIET DS DON VAY ===
JobId: sync_loan_details_20260624_161620
Input file: output/loans/list_loan_all.txt
Master file: output/loans/list_loan_detail_all.txt
Existing detail count before run: 0
Invalid master lines: 0
Total input: 66484
Already processed: 0
Need sync: 66484
Skipped missing/invalid: 0
API method: GET
API endpoint: /digital-sale-admin/api/v1/admin/loans/detail
Concurrency: 1
Delay: 500ms
Timeout: 15000ms
Max retries: 0
[1/66484] success: 1 | failed: 0 | skipped: 0 | speed: 0.72 req/s
[2/66484] success: 2 | failed: 0 | skipped: 0 | speed: 1 req/s
[3/66484] success: 3 | failed: 0 | skipped: 0 | speed: 1.15 req/s
[4/66484] success: 4 | failed: 0 | skipped: 0 | speed: 1.24 req/s
[5/66484] success: 5 | failed: 0 | skipped: 0 | speed: 1.29 req/s
[6/66484] success: 6 | failed: 0 | skipped: 0 | speed: 1.34 req/s
[7/66484] success: 7 | failed: 0 | skipped: 0 | speed: 1.38 req/s
[8/66484] success: 8 | failed: 0 | skipped: 0 | speed: 1.4 req/s
[9/66484] success: 9 | failed: 0 | skipped: 0 | speed: 1.43 req/s
[10/66484] success: 10 | failed: 0 | skipped: 0 | speed: 1.45 req/s
[50/66484] success: 50 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[100/66484] success: 100 | failed: 0 | skipped: 0 | speed: 1.62 req/s
[150/66484] success: 150 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[200/66484] success: 200 | failed: 0 | skipped: 0 | speed: 1.62 req/s
[250/66484] success: 250 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[300/66484] success: 300 | failed: 0 | skipped: 0 | speed: 1.62 req/s
[350/66484] success: 350 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[400/66484] success: 400 | failed: 0 | skipped: 0 | speed: 1.62 req/s
[450/66484] success: 450 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[500/66484] success: 500 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[550/66484] success: 550 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[600/66484] success: 600 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[650/66484] success: 650 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[700/66484] success: 700 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[750/66484] success: 750 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[800/66484] success: 800 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[850/66484] success: 850 | failed: 0 | skipped: 0 | speed: 1.62 req/s
